id;region;municipality;settlement;type;latitude_dd;longitude_dd
222;Алтайский край;Алейский;Дружба;с;5257;8250
223;Красноярский край;Канский район;Залесный;п;5649;9496
224;Алтайский край;Троицкий;Большая Речка;с;5302;8479
225;Республика Алтай;Улаганский район;Коо;с;5109;8789
226;Новосибирская область;Мошковский район;Сарачевка;д;5549;8358
227;Красноярский край;Назаровский район;Глядень;п;5577;9014
228;Новосибирская область;Кыштовский район;Верх-Тарка;с;5662;7749
229;Омская область;Калачинский район;Архангелка;д;5506;7451
230;Иркутская область;Тулунский район;Целинные Земли;п;5469;10063
231;Республика Алтай;Шебалинский район;Малая Черга;с;5134;8555
232;Республика Хакасия;Боградский район;Троицкое;с;5428;9108
233;Иркутская область;Чунский район;Червянка;с;5765;9954
234;Республика Хакасия;Алтайский район;Новороссийское;с;5337;9159
235;Алтайский край;Крутихинский;Долганка;с;5413;8104
236;Алтайский край;Немецкий национальный;Николаевка;с;5322;7872
237;Республика Алтай;Онгудайский район;Иодро;с;5039;8697
238;Алтайский край;Славгород;Славгородское;с;5301;7862
239;Омская область;Горьковский район;Подольск;д;5551;7434
240;Кемеровская область;Гурьевский район;Подкопенная;д;5446;8545
241;Кемеровская область;Яшкинский район;Ленинский;п;5602;8506
242;Красноярский край;Шарыповский район;Сорокино;д;5551;8886
243;Иркутская область;Нукутский район;Первомайское;с;5376;10324
244;Иркутская область;Черемховский район;Старый Кутугун;д;5325;10318
245;Республика Хакасия;Боградский район;Усть-Ерба;с;5444;9116
246;Кемеровская область;Новокузнецкий;Загорский;п;5376;8700
247;Иркутская область;Куйтунский район;Новая Тельба;п;5478;10199
248;Кемеровская область;Калтанский;Калтан;г;5352;8727
249;Красноярский край;Казачинский район;Казанка;д;5734;9377
250;Алтайский край;Крутихинский;Прыганка;с;5396;8080
251;Новосибирская область;Здвинский район;Нижний Чулым;с;5461;7894
252;Кемеровская область;Междуреченский;Ортон;п;5320;8862
253;Красноярский край;Саянский район;Нагорное;с;5531;9505
254;Красноярский край;Богучанский район;Ярки;д;5839;9710
255;Новосибирская область;Краснозерский район;Казанак;с;5418;7915
256;Иркутская область;Усть-Удинский район;Светлолобово;с;5428;10312
