id;region;municipality;settlement;type;latitude_dd;longitude_dd
835;Новосибирская область;Баганский район;Владимировка;с;5416;7794
836;Иркутская область;Тайшетский район;Талая;с;5558;9773
837;Иркутская область;Эхирит-Булагатский район;Большая Кура;д;5273;10484
838;Новосибирская область;Болотнинский район;Егоровка;с;5562;8421
839;Алтайский край;Волчихинский;Пятков Лог;с;5222;8028
840;Омская область;Называевский район;Искра;с;5592;7097
841;Красноярский край;Ирбейский район;Степановка;п;5518;9576
842;Красноярский край;Бирилюсский район;Проточный;п;5750;8991
843;Алтайский край;Благовещенский;Долинка;с;5302;8011
844;Алтайский край;Каменский;Самарский;п;5351;8133
845;Алтайский край;Волчихинский;Волчиха;с;5201;8036
846;Республика Тыва;Пий-Хемский кожуун;Туран;г;5214;9391
847;Новосибирская область;Сузунский район;Битки;с;5420;8226
848;Алтайский край;Угловский;Борисовка;с;5113;8023
849;Красноярский край;Курагинский район;Курское;с;5399;9291
850;Красноярский край;Манский район;Нижняя Есауловка;с;5578;9372
851;Кемеровская область;Новокузнецкий;Таргай;с;5356;8714
852;Новосибирская область;Венгеровский район;Петропавловка 2-я;с;5597;7655
853;Томская область;Чаинский район;Усть-Бакчар;с;5761;8231
854;Томская область;Тегульдетский район;Белый Яр;п;5750;8876
855;Иркутская область;Заларинский район;Сорты;д;5347;10222
856;Новосибирская область;Новосибирский район;Ленинский;п;5514;8314
857;Омская область;Называевский район;Константиновка;д;5522;7171
858;Алтайский край;Родинский;Мирный;п;5255;8016
859;Алтайский край;Угловский;Новоугловский;п;5144;8028
860;Алтайский край;Егорьевский;Песчаный Борок;п;5164;8105
861;Алтайский край;Бийский;Стан-Бехтемир;с;5260;8562
862;Иркутская область;Братский район;Кардой;д;5521;10057
863;Иркутская область;Чунский район;Веселый;п;5593;9958
864;Иркутская область;Бодайбинский район;Мамакан;п;5781;11401
865;Новосибирская область;Северный район;Бергуль;с;5660;7848
866;Кемеровская область;Промышленновский район;Соревнование;п;5505;8589
867;Красноярский край;Рыбинский район;Большие Ключи;с;5595;9518
868;Республика Хакасия;Таштыпский район;Нижний Имек;д;5282;8995
869;Красноярский край;Рыбинский район;Татьяновка;д;5580;9460
870;Томская область;Чаинский район;Мостовая;д;5759;8231
871;Иркутская область;Чунский район;Таргиз;п;5616;9995
872;Иркутская область;Слюдянский район;Байкал;п;5187;10480
873;Алтайский край;Чарышский;Щебнюха;с;5147;8341
874;Республика Алтай;Усть-Коксинский район;Кастахта;с;5032;8573
875;Новосибирская область;Татарский район;Северотатарское;с;5518;7589
876;Республика Алтай;Усть-Канский район;Верх-Ануй;с;5114;8497
877;Омская область;Большереченский район;Шипицыно;с;5601;7457
878;Новосибирская область;Татарский район;Тайлаково;д;5539;7564
879;Новосибирская область;Черепановский район;Бураново;с;5420;8389
880;Иркутская область;Баяндаевский район;Хатар-Хадай;с;5283;10523
881;Республика Алтай;Усть-Коксинский район;Карагай;с;5039;8462
882;Республика Хакасия;Орджоникидзевский район;Кагаево;д;5494;8973
883;Иркутская область;Чунский район;Заводской;п;5615;9917
884;Омская область;Черлакский район;Стретенка;д;5440;7533
885;Алтайский край;Благовещенский;Новотюменцево;п;5306;8020
886;Омская область;Таврический район;Солоновка;д;5458;7396
887;Новосибирская область;Маслянинский район;Никоново;д;5443;8397
888;Кемеровская область;Беловский;Новохудяково;с;5450;8683
889;Республика Алтай;Усть-Коксинский район;Мульта;с;5016;8595
890;Кемеровская область;Промышленновский район;Титово;с;5501;8524
891;Алтайский край;Усть-Калманский;Приозерный;п;5216;8349
892;Алтайский край;Советский;Сетовка;с;5220;8547
893;Омская область;Москаленский район;Грязновка;д;5488;7179
894;Иркутская область;Куйтунский район;Уховский;п;5440;10112
895;Новосибирская область;Барабинский район;Кармакла;д;5496;7840
896;Алтайский край;Бийский;Березовая Горка;п;5271;8546
897;Иркутская область;Осинский район;Лузгина;д;5337;10390
898;Новосибирская область;Чановский район;Старые Карачи;с;5549;7704
899;Кемеровская область;Крапивинский район;Борисово;с;5480;8656
900;Республика Тыва;Дзун-Хемчикский кожуун;Баян-Тала;с;5145;9143
901;Красноярский край;Емельяновский район;Раскаты;д;5630;9260
902;Омская область;Азовский немецкий национальный район;Роза Долина;д;5447;7294
903;Новосибирская область;Кыштовский район;Малокрасноярка;с;5646;7600
904;Омская область;Любинский район;Пролетарский;п;5521;7235
905;Красноярский край;Ужурский район;Березовый Лог;д;5515;9066
906;Алтайский край;Краснощёковский;Харлово;с;5169;8286
907;Красноярский край;Енисейский район;Кривляк;п;6029;9002
908;Кемеровская область;Тяжинский район;Новомарьинка;д;5608;8899
909;Томская область;Шегарский район;Вознесенка;с;5671;8389
910;Красноярский край;Назаровский район;Преображенский;п;5593;9043
911;Алтайский край;Залесовский;Видоново;с;5398;8405
912;Омская область;Называевский район;Гагаринка;д;5552;7126
913;Красноярский край;Новосёловский район;Камчатка;д;5512;9085
914;Алтайский край;Крутихинский;Боровое;с;5403;8118
915;Алтайский край;Первомайский;Сорочий Лог;с;5357;8414
916;Томская область;Чаинский район;Новоколомино;с;5782;8326
917;Кемеровская область;Таштагольский район;Калары;п;5291;8756
918;Новосибирская область;Тогучинский район;Изылы;д;5516;8457
919;Республика Хакасия;Орджоникидзевский район;Устинкино;с;5490;8956
920;Новосибирская область;Татарский район;Успенка;с;5488;7616
921;Алтайский край;Косихинский;Полковниково;с;5321;8463
922;Омская область;Марьяновский район;Васильевка;д;5491;7274
923;Иркутская область;Иркутский район;Падь Мельничная;п;5216;10437
924;Томская область;Томский район;Яр;с;5616;8493
925;Красноярский край;Енисейский район;Усть-Кемь;п;5854;9205
926;Красноярский край;Ужурский район;Кулун;с;5533;8978
927;Республика Хакасия;Усть-Абаканский район;Чапаево;д;5365;9134
928;Красноярский край;Манский район;Сорокино;п;5588;9339
929;Омская область;Тюкалинский район;Вторая Пятилетка;д;5585;7215
930;Красноярский край;Уярский район;Толстихино;с;5568;9445
931;Новосибирская область;Баганский район;Вознесенка;с;5414;7753
932;Иркутская область;Усть-Удинский район;Подволочное;с;5520;10336
933;Иркутская область;Усольский район;Сосновка;с;5282;10339
934;Красноярский край;Канский район;Крутая Горка;с;5616;9547
935;Омская область;Муромцевский район;Тармакла;д;5650;7552
936;Новосибирская область;Кыштовский район;Малая Скирла;д;5648;7608
937;Красноярский край;Новосёловский район;Новоселово;с;5500;9096
938;Новосибирская область;Карасукский район;Белое;с;5394;7846
939;Иркутская область;Боханский район;Русиновка;д;5313;10397
940;Алтайский край;Заринский;Яново;с;5390;8521
941;Новосибирская область;Венгеровский район;Венгерово;с;5568;7674
942;Красноярский край;Нижнеингашский район;Новоалександровка;с;5642;9657
943;Иркутская область;Тулунский район;Паберега;д;5484;10092
944;Алтайский край;Немецкий национальный;Полевое;с;5338;7923
945;Красноярский край;Нижнеингашский район;Стретенка;с;5646;9639
946;Иркутская область;Чунский район;Кулиш;д;5584;9973
947;Кемеровская область;Кемеровский;Камышная;д;5533;8585
948;Иркутская область;Нукутский район;Татхал-Онгой;д;5370;10272
949;Иркутская область;Тулунский район;Гуран;с;5476;10064
950;Алтайский край;Зональный;Сафоновка;п;5254;8501
951;Республика Алтай;Майминский район;Дубровка;п;5192;8583
952;Омская область;Усть-Ишимский район;Ильчебага;д;5761;7154
953;Новосибирская область;Чановский район;Блюдчанское;с;5511;7688
954;Алтайский край;Хабарский;Малопавловка;п;5343;7963
955;Омская область;Нововаршавский район;Александровка;с;5396;7485
956;Омская область;Полтавский район;Ольвиополь;д;5451;7125
957;Омская область;Крутинский район;Китерма;с;5609;7162
958;Республика Хакасия;Усть-Абаканский район;Тепличный;п;5378;9133
959;Иркутская область;Куйтунский район;Чеботариха;с;5438;10123
960;Иркутская область;Тулунский район;Трактово-Курзан;д;5461;10021
961;Алтайский край;Суетский;Октябрьский;п;5332;7992
962;Омская область;Седельниковский район;Кейзес;с;5693;7573
963;Алтайский край;Шипуновский;Шипуново;с;5221;8225
964;Красноярский край;Бородино;Бородино;г;5590;9490
965;Кемеровская область;Новокузнецкий;Северный;п;5394;8700
966;Иркутская область;Братский район;Большеокинское;с;5574;10174
967;Иркутская область;Иркутский район;Быкова;д;5273;10402
968;Новосибирская область;Куйбышевский район;Сергино;с;5578;7842
969;Республика Тыва;Тес-Хемский кожуун;Самагалтай;с;5059;9500
970;Новосибирская область;Искитимский район;Усть-Чем;с;5466;8372
971;Красноярский край;Канский район;Астафьевка;с;5639;9547
972;Омская область;Марьяновский район;Голенки;д;5491;7285
973;Иркутская область;Усольский район;Бадай;д;5287;10360
974;Кемеровская область;Промышленновский район;Голубево;п;5484;8507
975;Иркутская область;Тулунский район;Азей;с;5447;10077
976;Омская область;Одесский район;Сарат;д;5436;7308
977;Красноярский край;Новосёловский район;Бараит;с;5516;9075
978;Новосибирская область;Краснозерский район;Светлое;с;5419;7871
979;Алтайский край;Алтайский;Алтайское;с;5195;8533
980;Алтайский край;Троицкий;Озеро-Петровское;с;5295;8430
981;Алтайский край;Смоленский;Речной;п;5231;8499
982;Новосибирская область;Усть-Таркский район;Новосилиш;с;5594;7598
983;Новосибирская область;Бердск;Бердск;г;5475;8310
984;Алтайский край;Косихинский;Пустынь;с;5335;8448
985;Красноярский край;Минусинский район;Суходол;п;5378;9177
986;Иркутская область;Черемховский район;Хандагай;д;5312;10215
987;Кемеровская область;Промышленновский район;Тарасово;с;5488;8514
988;Новосибирская область;Карасукский район;Октябрьское;с;5351;7780
989;Кемеровская область;Гурьевский район;Печеркино;с;5441;8569
990;Новосибирская область;Мошковский район;Сарапулка;с;5515;8374
991;Красноярский край;Таймырский Долгано-Ненецкий район;Попигай;п;7188;11078
992;Алтайский край;Змеиногорский;Карамышево;с;5117;8208
993;Кемеровская область;Яшкинский район;Зырянка;д;5571;8523
994;Алтайский край;Первомайский;Сосновка;с;5312;8403
995;Омская область;Павлоградский район;Краснодарка;д;5425;7402
996;Красноярский край;Идринский район;Никольское;с;5448;9224
997;Красноярский край;Курагинский район;Жаровск;п;5377;9390
998;Алтайский край;Смоленский;Раздольный;п;5230;8500
999;Красноярский край;Идринский район;Идринское;с;5437;9212
1000;Красноярский край;Берёзовский район;Есауловка;п;5610;9328
1001;Новосибирская область;Маслянинский район;Нижняя Матренка;п;5446;8476
1002;Новосибирская область;Карасукский район;Карасук;г;5373;7804
1003;Республика Алтай;Шебалинский район;Топучая;с;5112;8558
1004;Красноярский край;Большемуртинский район;Таловка;с;5716;9315
1005;Кемеровская область;Яйский район;Ишим;с;5651;8622
1006;Кемеровская область;Беловский;им Ильича;п;5430;8638
1007;Томская область;Томский район;Большое Протопопово;д;5642;8519
1008;Новосибирская область;Баганский район;Бочаниха;с;5418;7767
1009;Красноярский край;Большемуртинский район;Большой Кантат;д;5704;9313
1010;Алтайский край;Бийский;Пригородный;п;5257;8524
1011;Кемеровская область;Новокузнецкий;Заречный;п;5359;8730
1012;Республика Алтай;Усть-Канский район;Владимировка;с;5104;8420
1013;Новосибирская область;Новосибирский район;Новокаменка;с;5516;8320
1014;Алтайский край;Бийский;Заозерный;п;5253;8548
1015;Алтайский край;Топчихинский;Сидоровка;с;5299;8299
1016;Алтайский край;Залесовский;Заплывино;с;5393;8457
1017;Алтайский край;Первомайский;Новокраюшкино;с;5377;8393
1018;Кемеровская область;Чебулинский район;Орлово-Розово;д;5605;8772
1019;Алтайский край;Новоалтайск;Новоалтайск;г;5341;8393
1020;Новосибирская область;Колыванский район;Сидоровка;с;5544;8240
1021;Омская область;Нижнеомский район;Ачаирка;д;5553;7485
1022;Красноярский край;Новосёловский район;Светлолобово;с;5509;9084
1023;Иркутская область;Нижнеилимский район;Коршуновский;п;5649;10419
1024;Томская область;Томский район;Семилужки;с;5661;8535
1025;Кемеровская область;Чебулинский район;Алчедат;с;5598;8791
1026;Алтайский край;Баевский;Нижнепайва;с;5331;8034
1027;Иркутская область;Нукутский район;Большебаяновская;д;5390;10258
1028;Иркутская область;Нижнеудинский район;Абалаково;с;5474;9910
1029;Иркутская область;Боханский район;Тараса;с;5308;10377
1030;Алтайский край;Локтевский;Локоть;с;5118;8119
1031;Новосибирская область;Венгеровский район;Орлово;д;5577;7691
1032;Иркутская область;Иркутский район;Оек;с;5258;10446
1033;Республика Тыва;Овюрский кожуун;Солчур;с;5075;9203
1034;Красноярский край;Шушенский район;Ильичево;п;5327;9184
1035;Красноярский край;Шарыповский район;Парная;с;5528;8923
1036;Иркутская область;Эхирит-Булагатский район;Куяда;д;5261;10467
1037;Республика Алтай;Онгудайский район;Большой Яломан;с;5048;8641
1038;Омская область;Муромцевский район;Поречье;с;5657;7494
1039;Алтайский край;Поспелихинский;Клепечиха;с;5215;8171
1040;Алтайский край;Шипуновский;Ильинка;с;5195;8236
1041;Иркутская область;Нижнеудинский район;Верхняя Гутара;с;5421;9697
1042;Алтайский край;Залесовский;Кордон;с;5418;8496
1043;Омская область;Москаленский район;Екатериновка;с;5491;7182
1044;Красноярский край;Рыбинский район;Малая Камала;с;5608;9493
1045;Красноярский край;Рыбинский район;Низинка;д;5580;9502
1046;Иркутская область;Заларинский район;Муруй;д;5334;10201
1047;Иркутская область;Аларский район;Кутулик;п;5334;10279
1048;Омская область;Крутинский район;Новгородцево;п;5593;7162
1049;Омская область;Омский район;Классино;д;5531;7350
1050;Новосибирская область;Барабинский район;Новоспасск;с;5511;7818
1051;Иркутская область;Нижнеудинский район;Швайкина;д;5481;9903
1052;Алтайский край;Змеиногорский;Никольск;с;5135;8190
1053;Красноярский край;Козульский район;Косачи;п;5613;9162
1054;Алтайский край;Ребрихинский;Усть-Мосиха;с;5324;8202
1055;Республика Тыва;Улуг-Хемский кожуун;Хайыракан;с;5156;9313
1056;Новосибирская область;Краснозерский район;Степной;п;5392;7957
1057;Кемеровская область;Ленинск-Кузнецкий;Покровка;д;5455;8567
1058;Омская область;Полтавский район;Лубянск;д;5447;7145
1059;Республика Алтай;Чойский район;Гусевка;с;5202;8653
1060;Красноярский край;Тасеевский район;Сухово;с;5706;9464
1061;Красноярский край;Казачинский район;Бобровка;д;5732;9313
1062;Республика Хакасия;Аскизский район;Усть-Камышта;с;5335;9070
1063;Новосибирская область;Сузунский район;Ключики;с;5390;8189
1064;Красноярский край;Ужурский район;Усть-Изыкчуль;д;5549;9001
1065;Иркутская область;Аларский район;Тыргетуй;с;5335;10327
1066;Омская область;Нововаршавский район;Славянка;с;5417;7452
1067;Алтайский край;Бийский;Лесное;с;5246;8525
1068;Новосибирская область;Чулымский район;Воздвиженский;п;5463;8073
1069;Республика Тыва;Каа-Хемский кожуун;Сизим;с;5131;9594
1070;Омская область;Кормиловский район;Зотино;д;5506;7423
1071;Красноярский край;Мотыгинский район;Орджоникидзе;п;5845;9545
1072;Красноярский край;Манский район;Ручейки;п;5585;9366
1073;Иркутская область;Куйтунский район;Красный Яр;д;5438;10205
1074;Кемеровская область;Ленинск-Кузнецкий;Хрестиновский;п;5457;8532
1075;Омская область;Называевский район;Спасск;д;5539;7163
1076;Омская область;Черлакский район;Южно-Подольск;с;5441;7505
1077;Алтайский край;Шипуновский;Усть-Порозиха;с;5212;8282
1078;Алтайский край;Косихинский;Малахово;с;5335;8440
1079;Омская область;Русско-Полянский район;Степное;д;5378;7440
1080;Алтайский край;Бийский;Боровой;п;5257;8531
1081;Иркутская область;Аларский район;Заречное;д;5316;10263
1082;Республика Тыва;Дзун-Хемчикский кожуун;Ийме;с;5158;9159
1083;Омская область;Нижнеомский район;Киршовка;д;5546;7507
1084;Алтайский край;Солонешенский;Лютаево;с;5188;8442
1085;Омская область;Кормиловский район;Алексеевка;с;5515;7391
1086;Кемеровская область;Таштагольский район;Якунинск;п;5252;8780
1087;Томская область;Каргасокский район;Мыльджино;с;5899;7847
1088;Иркутская область;Аларский район;Егоровская;д;5330;10301
1089;Новосибирская область;Искитимский район;Советский;п;5444;8267
1090;Красноярский край;Саянский район;Агинское;с;5525;9490
1091;Алтайский край;Бийский;Мальцева Курья;п;5257;8569
1092;Красноярский край;Курагинский район;Рощинский;п;5387;9278
1093;Красноярский край;Большемуртинский район;Верх-Казанка;с;5704;9278
1094;Красноярский край;Партизанский район;Ивашиха;д;5518;9450
1095;Томская область;Томский район;Плотниково;д;5638;8524
1096;Республика Хакасия;Орджоникидзевский район;Большой Сютик;д;5501;8986
1097;Красноярский край;Берёзовский район;Челноково;д;5604;9332
1098;Красноярский край;Богучанский район;Таежный;п;5807;9731
1099;Новосибирская область;Чановский район;Блюдцы;д;5494;7699
1100;Алтайский край;Локтевский;Вторая Каменка;с;5105;8175
1101;Омская область;Омский район;Халдеевка;д;5532;7366
1102;Республика Тыва;Ак-Довурак;Ак-Довурак;г;5117;9059
1103;Красноярский край;Большемуртинский район;Еловка;с;5675;9326
1104;Новосибирская область;Искитимский район;Легостаево;с;5464;8382
1105;Новосибирская область;Здвинский район;Новощербаки;д;5494;7889
1106;Новосибирская область;Барабинский район;Старощербаково;д;5536;7845
1107;Новосибирская область;Карасукский район;Грамотино;п;5374;7835
1108;Новосибирская область;Маслянинский район;Чупино;д;5439;8415
1109;Алтайский край;Алейский;Моховское;с;5261;8249
1110;Алтайский край;Благовещенский;Леньки;с;5293;8043
1111;Омская область;Муромцевский район;Карташово;д;5611;7473
1112;Кемеровская область;Ленинск-Кузнецкий;Русско-Урский;п;5451;8610
1113;Красноярский край;Шарыповский район;Ивановка;с;5556;8878
1114;Красноярский край;Шарыповский район;Новокурск;д;5575;8932
1115;Иркутская область;Тайшетский район;Тремина;д;5671;9805
1116;Кемеровская область;Юргинский;Верх-Тайменка;с;5565;8520
1117;Алтайский край;Шелаболихинский;Кучук;с;5343;8246
1118;Красноярский край;Ужурский район;Терехта;д;5543;9019
1119;Новосибирская область;Убинский район;Суходолье;п;5504;7931
1120;Омская область;Оконешниковский район;Павловка;д;5484;7465
1121;Томская область;Бакчарский район;Бакчар;с;5702;8207
1122;Алтайский край;Заринский;Новокопылово;с;5367;8474
1123;Республика Хакасия;Аскизский район;Казановка;д;5319;9009
1124;Алтайский край;Славгород;Архангельское;с;5308;7864
1125;Новосибирская область;Краснозерский район;Лотошное;с;5413;7878
1126;Алтайский край;Яровое;Яровое;г;5292;7857
1127;Новосибирская область;Искитимский район;Целинный;п;5436;8285
1128;Новосибирская область;Куйбышевский район;Новоичинское;с;5566;7762
1129;Новосибирская область;Тогучинский район;Златоуст;с;5525;8414
1130;Красноярский край;Новосёловский район;Анаш;п;5487;9105
1131;Иркутская область;Братский район;Тарма;п;5598;10129
1132;Новосибирская область;Тогучинский район;Долгово;д;5543;8445
1133;Кемеровская область;Топкинский район;Терехино;д;5534;8549
1134;Республика Алтай;Чемальский район;Толгоек;с;5133;8605
1135;Кемеровская область;Мариинский район;Раевка;д;5617;8787
1136;Омская область;Называевский район;Мангут;с;5577;7076
1137;Новосибирская область;Колыванский район;Королевка;с;5603;8301
1138;Новосибирская область;Коченёвский район;Катково;с;5512;8253
1139;Алтайский край;Шипуновский;Порожнее;с;5226;8192
1140;Омская область;Москаленский район;Клаус;д;5492;7195
1141;Омская область;Черлакский район;Преображенка;д;5431;7510
1142;Кемеровская область;Новокузнецкий;Пушкино;п;5367;8705
1143;Томская область;Каргасокский район;Напас;с;5989;8200
1144;Алтайский край;Бийский;Енисейское;с;5257;8550
1145;Новосибирская область;Черепановский район;Пятилетка;п;5424;8333
1146;Республика Тыва;Каа-Хемский кожуун;Бурен-Бай-Хаак;с;5124;9555
1147;Красноярский край;Таймырский Долгано-Ненецкий район;Хатанга;с;7198;10246
1148;Красноярский край;Мотыгинский район;Слюдрудник;п;5798;9419
1149;Красноярский край;Нижнеингашский район;Ивановка;с;5631;9651
1150;Кемеровская область;Тайгинский;Таежный;п;5610;8550
1151;Новосибирская область;Чановский район;Белехта;д;5526;7681
1152;Красноярский край;Саянский район;Совхозный;п;5550;9477
1153;Иркутская область;Тулунский район;Утай;п;5463;10031
1154;Красноярский край;Боготольский район;Коробейниково;д;5637;9000
1155;Красноярский край;Таймырский Долгано-Ненецкий район;Караул;с;7007;8320
1156;Иркутская область;Нукутский район;Шалоты;д;5358;10299
1157;Алтайский край;Каменский;Толстовский;п;5366;8094
1158;Омская область;Крутинский район;Рыжково;с;5599;7099
1159;Кемеровская область;Ленинск-Кузнецкий;Чкаловский;п;5468;8595
1160;Кемеровская область;Кемеровский;Новоискитимск;п;5530;8605
1161;Новосибирская область;Черепановский район;Еловкино;п;5409;8329
1162;Алтайский край;Благовещенский;Орлеан;с;5268;7959
1163;Красноярский край;Ачинский район;Белый Яр;с;5628;9031
1164;Алтайский край;Краснощёковский;Усть-Пустынка;с;5147;8320
1165;Омская область;Калачинский район;Кабанье;с;5499;7520
1166;Алтайский край;Егорьевский;Шубинка;с;5160;8079
1167;Иркутская область;Нижнеудинский район;Широково;с;5543;9939
1168;Омская область;Омский район;Октябрьский;п;5492;7365
1169;Красноярский край;Богучанский район;Такучет;п;5761;9670
1170;Омская область;Оконешниковский район;Кочковатое;д;5475;7466
1171;Томская область;Каргасокский район;Старая Березовка;с;5898;7954
1172;Красноярский край;Иланский район;Ельники;п;5574;9641
1173;Алтайский край;Заринский;Комарское;с;5364;8508
1174;Кемеровская область;Междуреченский;Майзас;п;5362;8820
1175;Алтайский край;Краснощёковский;Новошипуново;с;5169;8325
1176;Омская область;Омский район;Новомосковка;с;5501;7353
1177;Томская область;Кожевниковский район;Старая Ювала;с;5631;8344
1178;Красноярский край;Эвенкийский район;Куюмба;п;6095;9697
1179;Алтайский край;Алейский;Заветы Ильича;п;5250;8269
1180;Новосибирская область;Чистоозёрный район;Шипицыно;с;5452;7684
1181;Омская область;Колосовский район;Бражниково;с;5651;7384
1182;Республика Хакасия;Таштыпский район;Анчул;с;5280;8948
1183;Новосибирская область;Усть-Таркский район;Угуй;с;5602;7604
1184;Омская область;Тарский район;Екатерининское;с;5687;7458
1185;Красноярский край;Эвенкийский район;Суломай;п;6161;9118
1186;Кемеровская область;Кемеровский;Пригородный;п;5534;8595
1187;Красноярский край;Дзержинский район;Кедровка;д;5685;9531
1188;Новосибирская область;Усть-Таркский район;Усть-Тарка;с;5556;7570
1189;Омская область;Называевский район;Староназываевка;д;5547;7128
1190;Омская область;Азовский немецкий национальный район;Звонарев Кут;с;5469;7337
1191;Новосибирская область;Доволенский район;Ярки;с;5479;7972
1192;Кемеровская область;Кемеровский;Привольный;п;5549;8607
1193;Алтайский край;Косихинский;Верх-Бобровка;с;5319;8476
1194;Иркутская область;Аларский район;Алзобей;д;5311;10262
1195;Кемеровская область;Новокузнецкий;Митино;д;5382;8710
1196;Новосибирская область;Венгеровский район;Ночка;д;5581;7697
1197;Республика Хакасия;Бейский район;Уты;д;5307;9079
1198;Новосибирская область;Искитимский район;Сосновка;с;5468;8295
1199;Республика Алтай;Шебалинский район;Беш-Озек;с;5111;8524
1200;Томская область;Кожевниковский район;Борзуновка;д;5613;8354
1201;Красноярский край;Казачинский район;Пятково;с;5741;9319
1202;Омская область;Русско-Полянский район;Цветочное;с;5366;7405
1203;Республика Алтай;Улаганский район;Чибит;с;5031;8750
1204;Алтайский край;Советский;Глинка;п;5219;8533
1205;Алтайский край;Усть-Калманский;Усть-Камышенка;с;5205;8319
1206;Новосибирская область;Здвинский район;Верх-Урюм;с;5449;7859
1207;Красноярский край;Ермаковский район;Жеблахты;с;5331;9218
1208;Иркутская область;Боханский район;Кулаково;д;5297;10358
1209;Новосибирская область;Купинский район;Копкуль;с;5439;7763
1210;Новосибирская область;Коченёвский район;Чик;д;5499;8243
1211;Красноярский край;Назаровский район;Скоробогатово;д;5575;9087
1212;Красноярский край;Абанский район;Никольск;с;5678;9594
1213;Красноярский край;Шарыповский район;Глинка;д;5577;8952
1214;Новосибирская область;Новосибирский район;Плотниково;с;5503;8339
1215;Кемеровская область;Тисульский район;Макаракский;п;5559;8804
1216;Алтайский край;Кулундинский;Городецкий;п;5270;7897
1217;Омская область;Нижнеомский район;Слободка;д;5538;7497
1218;Иркутская область;Нижнеудинский район;Кадуй;д;5474;9953
1219;Красноярский край;Абанский район;Хандальск;с;5709;9712
1220;Красноярский край;Курагинский район;Черемшанка;с;5388;9373
1221;Кемеровская область;Крапивинский район;Банново;с;5508;8670
1222;Омская область;Знаменский район;Усть-Тамак;д;5724;7372
1223;Новосибирская область;Коченёвский район;Чистополье;с;5496;8249
1224;Алтайский край;Рубцовский;Саратовка;с;5138;8164
1225;Новосибирская область;Коченёвский район;Шагалово;с;5491;8221
1226;Новосибирская область;Тогучинский район;Коурак;с;5482;8467
1227;Алтайский край;Заринский;Новомоношкино;с;5361;8450
1228;Иркутская область;Киренский район;Коммуна;д;5773;10804
1229;Томская область;Парабельский район;Шпалозавод;п;5893;8155
1230;Иркутская область;Боханский район;Усть-Тараса;д;5318;10371
1231;Республика Алтай;Турочакский район;Турочак;с;5225;8712
1232;Иркутская область;Зиминский район;Зулумай;с;5368;10131
1233;Алтайский край;Петропавловский;Николаевка;с;5219;8412
1234;Новосибирская область;Маслянинский район;Серебренниково;д;5436;8444
1235;Иркутская область;Тайшетский район;Пея;п;5689;9783
1236;Красноярский край;Большемуртинский район;Муратово;д;5718;9330
1237;Красноярский край;Балахтинский район;Ижульское;с;5519;9168
1238;Красноярский край;Ужурский район;Тургужан;д;5513;9000
1239;Омская область;Калачинский район;Индейка;п;5495;7441
1240;Алтайский край;Рубцовский;Тишинка;с;5180;8132
1241;Иркутская область;Эхирит-Булагатский район;Бозой;п;5292;10485
1242;Иркутская область;Нижнеудинский район;Нижнеудинск;г;5490;9902
1243;Республика Алтай;Чемальский район;Эдиган;с;5110;8626
1244;Омская область;Исилькульский район;Евсюки;д;5517;7146
1245;Омская область;Русско-Полянский район;Андриановка;д;5380;7375
1246;Республика Алтай;Шебалинский район;Верх-Черга;с;5137;8545
1247;Алтайский край;Топчихинский;Песчаное;с;5279;8250
1248;Иркутская область;Боханский район;Петрограновка;д;5306;10418
1249;Омская область;Исилькульский район;Боевой;п;5493;7144
1250;Новосибирская область;Чановский район;Отреченское;с;5511;7722
1251;Иркутская область;Шелеховский район;Подкаменная;п;5196;10391
1252;Омская область;Большереченский район;Мешково;д;5640;7468
1253;Новосибирская область;Чистоозёрный район;Табулгинский;п;5490;7630
1254;Красноярский край;Шарыповский район;Росинка;д;5569;8934
1255;Алтайский край;Красногорский;Старая Суртайка;п;5223;8587
1256;Иркутская область;Боханский район;Маньково;д;5313;10406
1257;Республика Алтай;Улаганский район;Балыкча;с;5128;8772
1258;Новосибирская область;Венгеровский район;Сибирцево 2-е;с;5602;7707
1259;Иркутская область;Усть-Удинский район;Лобагай;д;5395;10332
1260;Алтайский край;Благовещенский;Яготино;с;5274;7963
1261;Красноярский край;Каратузский район;Шалагино;д;5352;9276
1262;Республика Хакасия;Бейский район;Усть-Киндирла;д;5303;9063
1263;Омская область;Саргатский район;Увальная Бития;д;5549;7334
1264;Новосибирская область;Коченёвский район;Крохалевка;д;5514;8254
1265;Алтайский край;Михайловский;Ракиты;с;5184;7988
1266;Новосибирская область;Северный район;Федоровка;с;5607;7883
1267;Омская область;Кормиловский район;Немировка;д;5492;7388
1268;Республика Хакасия;Бейский район;Богдановка;д;5293;9056
1269;Томская область;Верхнекетский район;Клюквинка;п;5854;8587
1270;Республика Хакасия;Бейский район;Новоенисейка;с;5316;9151
1271;Иркутская область;Усольский район;Биликтуй;с;5259;10383
1272;Кемеровская область;Прокопьевский;Смышляево;п;5382;8658
1273;Томская область;Верхнекетский район;Сайга;п;5802;8543
1274;Омская область;Марьяновский район;Райнфельд;д;5493;7234
1275;Новосибирская область;Каргатский район;Набережное;с;5517;8018
1276;Красноярский край;Иланский район;Черниговка;д;5630;9602
1277;Омская область;Москаленский район;Корнеевка;д;5491;7176
